"","bike_trips_v2$member_casual","bike_trips_v2$day_of_week","bike_trips_v2$ride_length"
"1","casual","Sunday",3581.40538796287
"2","member","Sunday",919.974616087874
"3","casual","Monday",3372.28692301734
"4","member","Monday",842.572569441855
"5","casual","Tuesday",3596.35994917685
"6","member","Tuesday",826.142747003035
"7","casual","Wednesday",3718.66189688171
"8","member","Wednesday",823.99964423397
"9","casual","Thursday",3682.98467067278
"10","member","Thursday",823.927803262394
"11","casual","Friday",3773.83511159754
"12","member","Friday",824.530506415729
"13","casual","Saturday",3331.91384107354
"14","member","Saturday",968.933722973395
